OrderNumber;OrderDate;OrderType;CustomerType;CustomerName;CustomerState;ProductCategory;ProductNumber;ProductName;Quantity;Price;Discount;OrderTotal
1000039;Jan 3, 2020;Retail;Individual;Crystal Liang;Virginia;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000040;Jan 3, 2020;Wholesale;Business;Levi Weber LLC;Georgia;Orchid;OC204;Cymbidium Orchid;11,00;$89,00;$17,80;$961,20
1000041;Jan 3, 2020;Wholesale;Business;Kimberly Murphy Engineering;Georgia;Sunflower;SF707;Italian White;5,00;$599,00;$119,80;$2.875,20
1000042;Jan 3, 2020;Wholesale;Business;Nicholas Robinson LLC;Arizona;Orchid;OC605;Psychopsis Orchid;3,00;$214,00;$42,80;$599,20
1000043;Jan 3, 2020;Retail;Business;Ryan Smith Inc.;Georgia;Rose;RS519;Alba Rose;4,00;$16,75;$0,00;$67,00
1000044;Jan 3, 2020;Wholesale;Business;Brittany Price Inc.;Kansas;Rose;RS102;Carolina Rose;12,00;$8,99;$1,80;$106,08
1000045;Jan 3, 2020;Retail;Individual;Melissa Sanchez;Texas;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000046;Jan 3, 2020;Wholesale;Business;Christy Chow Inc.;Florida;Rose;RS104;Beach Rose;8,00;$4,99;$1,00;$38,92
1000047;Jan 3, 2020;Wholesale;Business;Jordan Coleman InformationSystems;Arizona;Rose;RS502;Rosa Glauca;104,00;$24,95;$4,99;$2.589,81
1000048;Jan 4, 2020;Wholesale;Business;Cindy Gray LLC;Mississippi;Sunflower;SF305;Ms. Mars;9,00;$455,00;$91,00;$4.004,00
1000049;Jan 4, 2020;Retail;Individual;Brianna Ross;Missouri;Rose;RS514;Grandiflora;1,00;$23,99;$0,00;$23,99
1000050;Jan 4, 2020;Wholesale;Business;Jamie Liang Productions;Florida;Orchid;OC201;Phalaenopsis Orchid;8,00;$54,00;$10,80;$421,20
1000051;Jan 4, 2020;Retail;Individual;Dennis Zhu;Texas;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000052;Jan 4, 2020;Retail;Individual;Erin Rogers;Tennessee;Daisy;DS802;Mojave Desert Star;1,00;$49,95;$0,00;$49,95
1000053;Jan 4, 2020;Wholesale;Business;Savannah Reed Securities;New York;Rose;RS101;Prickly Wild Rose;8,00;$9,99;$2,00;$77,92
1000054;Jan 4, 2020;Retail;Individual;Chad Kumar;District of Columbia;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1000055;Jan 4, 2020;Wholesale;Business;Susan Yang;California;Rose;RS521;Hybrid Musk;11,00;$19,50;$3,90;$210,60
1000056;Jan 4, 2020;Retail;Individual;Madison Lee;Minnesota;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1000057;Jan 4, 2020;Wholesale;Business;Briana Dominguez LLC;Connecticut;Sunflower;SF301;Little Becka;5,00;$399,00;$79,80;$1.915,20
1000058;Jan 4, 2020;Retail;Individual;Rachel Garcia;Illinois;Rose;RS110;Noisette Rose;1,00;$11,99;$0,00;$11,99
1000059;Jan 5, 2020;Retail;Individual;Jerome Gutierrez;New Mexico;Orchid;OC201;Phalaenopsis Orchid;1,00;$54,00;$0,00;$54,00
1000060;Jan 5, 2020;Wholesale;Business;Jordan Turner Inc.;Kentucky;Orchid;OC602;Miltonia Orchid;9,00;$189,00;$37,80;$1.663,20
1000061;Jan 5, 2020;Retail;Individual;Jonathan Smith;Indiana;Rose;RS102;Carolina Rose;1,00;$8,99;$0,00;$8,99
1000062;Jan 5, 2020;Wholesale;Business;Chloe Nelson AITech;Arizona;Rose;RS107;French Rose;10,00;$12,00;$2,40;$117,60
1000063;Jan 5, 2020;Retail;Individual;Sarah Lewis;Colorado;Daisy;DS805;Barberton Daisy;1,00;$49,00;$0,00;$49,00
1000064;Jan 5, 2020;Wholesale;Business;Samuel Collins Corporation;Washington;Rose;RS108;Panda Robot Blueprint;3,00;$7,99;$1,60;$22,37
1000065;Jan 5, 2020;Retail;Individual;Sara Brooks;Delaware;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1000066;Jan 5, 2020;Retail;Individual;Robert Mitchell;California;Daisy;DS802;Mojave Desert Star;1,00;$49,95;$0,00;$49,95
1000067;Jan 5, 2020;Retail;Individual;Colin Stone;Pennsylvania;Orchid;OC606;Vanda Orchid;1,00;$225,00;$0,00;$225,00
1000068;Jan 5, 2020;Wholesale;Business;Edward Parker Inc.;Kansas;Orchid;OC603;Paphiopedlium Orchid;5,00;$189,00;$37,80;$907,20
1000069;Jan 5, 2020;Retail;Individual;Edwin Shan;Illinois;Orchid;OC209;Lycaste Orchid;1,00;$179,00;$0,00;$179,00
1000070;Jan 5, 2020;Wholesale;Business;Jenny Nara Technologies;Utah;Orchid;OC602;Miltonia Orchid;10,00;$189,00;$37,80;$1.852,20
1000071;Jan 5, 2020;Wholesale;Business;Catherine Torres Inc.;Arizona;Rose;RS109;Floribunda;64,00;$10,99;$2,20;$701,16
1000072;Jan 6, 2020;Retail;Individual;Natalie Cook;New York;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000073;Jan 6, 2020;Retail;Individual;Lindsay Xie;Tennessee;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1000074;Jan 6, 2020;Retail;Individual;Jill Jimenez;Ohio;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000075;Jan 6, 2020;Retail;Individual;Christy Zhou;West Virginia;Rose;RS507;White Rose of York;1,00;$13,99;$0,00;$13,99
1000076;Jan 6, 2020;Retail;Individual;James Brown;Alabama;Rose;RS107;French Rose;1,00;$12,00;$0,00;$12,00
1000077;Jan 6, 2020;Retail;Individual;Nathan Hughes;North Carolina;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000078;Jan 6, 2020;Wholesale;Business;Casey Sharma LLC;South Dakota;Rose;RS507;White Rose of York;12,00;$13,99;$2,80;$165,08
1000079;Jan 6, 2020;Wholesale;Business;Dalton Clark Group;Florida;Sunflower;SF705;Suntastic Yellow;103,00;$684,00;$136,80;$70.315,20
1000080;Jan 6, 2020;Wholesale;Business;Gabriella Morris LLC;California;Sunflower;SF702;American Giant Hybrid;42,00;$899,00;$179,80;$37.578,20
1000081;Jan 6, 2020;Wholesale;Business;Andrew Wedge Inc.;Georgia;Rose;RS516;Polyantha;12,00;$16,99;$3,40;$200,48
1000082;Jan 6, 2020;Wholesale;Business;Cindy Patel LLC;New York;Daisy;DS809;Eastern Purple Coneflower;12,00;$42,99;$8,60;$507,28
1000083;Jan 6, 2020;Retail;Individual;Jada Sanders;New York;Rose;RS520;Rogusa Rose;1,00;$17,50;$0,00;$17,50
1000084;Jan 6, 2020;Retail;Individual;Julia Wright;Nevada;Sunflower;SF302;Sunny Smile;2,00;$395,00;$0,00;$790,00
1000085;Jan 6, 2020;Retail;Individual;Jarrod Gonzalez;New York;Sunflower;SF703;Russian Mammoth;1,00;$549,00;$0,00;$549,00
1000086;Jan 6, 2020;Retail;Individual;Raymond Sanchez;District of Columbia;Sunflower;SF702;American Giant Hybrid;1,00;$899,00;$0,00;$899,00
1000087;Jan 6, 2020;Retail;Individual;Alan Sun;Kentucky;Sunflower;SF707;Italian White;1,00;$599,00;$0,00;$599,00
1000088;Jan 7, 2020;Wholesale;Business;Grace Bell andSons;Florida;Rose;RS519;Alba Rose;5,00;$16,75;$3,35;$80,40
1000089;Jan 7, 2020;Wholesale;Business;Omar Raje Inc.;Virginia;Daisy;DS802;Mojave Desert Star;11,00;$49,95;$9,99;$539,46
1000090;Jan 7, 2020;Retail;Individual;Tyler Taylor;Colorado;Rose;RS503;Multiflora Rose;1,00;$24,99;$0,00;$24,99
1000091;Jan 7, 2020;Wholesale;Business;Jose Li Inc.;Maryland;Sunflower;SF303;Terracotta;6,00;$450,00;$90,00;$2.610,00
1000092;Jan 7, 2020;Retail;Individual;Linda Serrano;Georgia;Rose;RS501;Prairie Rose;1,00;$23,99;$0,00;$23,99
1000093;Jan 7, 2020;Retail;Individual;Michele Navarro;Florida;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000094;Jan 7, 2020;Wholesale;Business;Bianca Liu Group;New York;Orchid;OC209;Lycaste Orchid;9,00;$179,00;$35,80;$1.575,20
1000095;Jan 7, 2020;Wholesale;Business;Xavier Bailey LLC;Connecticut;Daisy;DS804;Chrysanthemum Daisy;104,00;$37,99;$7,60;$3.943,36
1000096;Jan 7, 2020;Wholesale;Business;Jordan Gonzalez Group;West Virginia;Rose;RS518;Moss Rose;82,00;$14,99;$3,00;$1.226,18
1000097;Jan 7, 2020;Wholesale;Business;Albert Moreno andSons;Kansas;Rose;RS507;White Rose of York;7,00;$13,99;$2,80;$95,13
1000098;Jan 7, 2020;Wholesale;Business;Kaitlyn Cox Group;Pennsylvania;Daisy;DS811;Ox-Eye Daisy;65,00;$27,50;$5,50;$1.782,00
1000099;Jan 7, 2020;Retail;Individual;Destiny Powell;North Carolina;Sunflower;SF703;Russian Mammoth;1,00;$549,00;$0,00;$549,00
1000100;Jan 8, 2020;Wholesale;Business;Chloe Nelson AITech;Arizona;Daisy;DS809;Eastern Purple Coneflower;8,00;$42,99;$8,60;$335,32
1000101;Jan 8, 2020;Retail;Individual;Chad Jai;Hawaii;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1000102;Jan 8, 2020;Retail;Individual;Jaime Gutierrez;West Virginia;Orchid;OC603;Paphiopedlium Orchid;1,00;$189,00;$0,00;$189,00
1000103;Jan 8, 2020;Retail;Business;Shannon Sun Inc.;Texas;Orchid;OC206;Dendrobium Orchid;2,00;$119,00;$0,00;$238,00
1000104;Jan 8, 2020;Wholesale;Business;Jonathan Martinez Inc.;Kentucky;Orchid;OC202;Catasetum Orchid;5,00;$58,95;$11,79;$282,96
1000105;Jan 8, 2020;Retail;Individual;Erica Huang;Texas;Orchid;OC209;Lycaste Orchid;2,00;$179,00;$0,00;$358,00
1000106;Jan 8, 2020;Wholesale;Business;Kari Mehta LTD;Minnesota;Orchid;OC603;Paphiopedlium Orchid;4,00;$189,00;$37,80;$718,20
1000107;Jan 8, 2020;Wholesale;Business;Karla Goel Group;Tennessee;Rose;RS509;Bourbon Rose;4,00;$19,99;$4,00;$75,96
1000108;Jan 8, 2020;Retail;Individual;Shannon Wang;Alaska;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1000109;Jan 8, 2020;Wholesale;Business;Nelson Carlson LLC;Washington;Rose;RS516;Polyantha;13,00;$16,99;$3,40;$217,47
1000110;Jan 8, 2020;Wholesale;Business;Lauren Thompson Inc.;California;Sunflower;SF301;Little Becka;8,00;$399,00;$79,80;$3.112,20
1000111;Jan 8, 2020;Retail;Business;Jennifer Campbell Security;Pennsylvania;Sunflower;SF307;Moulin Rouge;93,00;$499,00;$0,00;$46.407,00
1000112;Jan 8, 2020;Wholesale;Business;Logan Hernandez PlusSport;Florida;Rose;RS105;Portland Rose;92,00;$12,00;$2,40;$1.101,60
1000113;Jan 8, 2020;Wholesale;Business;Brittany Foster Resources;Alaska;Orchid;OC201;Phalaenopsis Orchid;24,00;$54,00;$10,80;$1.285,20
1000114;Jan 8, 2020;Wholesale;Business;Catherine Torres Inc.;Arizona;Orchid;OC204;Cymbidium Orchid;82,00;$89,00;$17,80;$7.280,20
1000115;Jan 9, 2020;Wholesale;Business;Jose Li Inc.;Maryland;Rose;RS102;Carolina Rose;6,00;$8,99;$1,80;$52,14
1000116;Jan 9, 2020;Wholesale;Business;Deanna Perez Group;Virginia;Orchid;OC206;Dendrobium Orchid;4,00;$119,00;$23,80;$452,20
1000117;Jan 9, 2020;Retail;Individual;Terrence Luo;Florida;Sunflower;SF705;Suntastic Yellow;2,00;$684,00;$0,00;$1.368,00
1000118;Jan 9, 2020;Wholesale;Business;Mandar Samant Inc.;California;Rose;RS507;White Rose of York;13,00;$13,99;$2,80;$179,07
1000119;Jan 9, 2020;Wholesale;Business;Ann Gonzalez ForeverInc..;Massachusetts;Rose;RS521;Hybrid Musk;8,00;$19,50;$3,90;$152,10
1000120;Jan 9, 2020;Wholesale;Business;Chase Cox Group;Illinois;Daisy;DS803;Curly Leaf Daisy;8,00;$29,99;$6,00;$233,92
1000121;Jan 9, 2020;Wholesale;Business;Preston Raman Inc.;Georgia;Sunflower;SF707;Italian White;8,00;$599,00;$119,80;$4.672,20
1000122;Jan 9, 2020;Retail;Individual;Sydney Ross;Florida;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000123;Jan 9, 2020;Retail;Individual;Philip Diaz;Michigan;Orchid;OC204;Cymbidium Orchid;2,00;$89,00;$0,00;$178,00
1000124;Jan 9, 2020;Wholesale;Business;Marcus Anderson Inc.;Alabama;Sunflower;SF706;Firecracker;13,00;$883,00;$176,60;$11.302,40
1000125;Jan 9, 2020;Wholesale;Business;Kendra Gutierrez Inc..;Oklahoma;Daisy;DS813;English Daisy;5,00;$29,99;$6,00;$143,95
1000126;Jan 9, 2020;Retail;Individual;Sean Sanchez;Indiana;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000127;Jan 9, 2020;Retail;Individual;Tiffany Li;Virginia;Daisy;DS802;Mojave Desert Star;1,00;$49,95;$0,00;$49,95
1000128;Jan 9, 2020;Retail;Business;Savannah Reed Securities;New York;Rose;RS509;Bourbon Rose;3,00;$19,99;$0,00;$59,97
1000129;Jan 9, 2020;Wholesale;Business;Brenda Stone;California;Rose;RS508;Ayrshire Rose;97,00;$15,50;$3,10;$1.500,40
1000130;Jan 10, 2020;Wholesale;Business;Christy Chow Inc.;Florida;Rose;RS504;Shining Rose;7,00;$12,99;$2,60;$88,33
1000131;Jan 10, 2020;Wholesale;Business;Brenda Stone;California;Rose;RS108;Panda Robot Blueprint;11,00;$7,99;$1,60;$86,29
1000132;Jan 10, 2020;Wholesale;Business;Beth Gomez LLC;New York;Sunflower;SF306;Chianti;3,00;$250,00;$50,00;$700,00
1000133;Jan 10, 2020;Wholesale;Business;Megan Rodriguez Inc.;Indiana;Rose;RS506;Heirloom Rose;8,00;$16,99;$3,40;$132,52
1000134;Jan 10, 2020;Wholesale;Business;Blake Roberts Inc.;Virginia;Rose;RS110;Noisette Rose;10,00;$11,99;$2,40;$117,50
1000135;Jan 10, 2020;Retail;Business;Anne Ortega LLC;Texas;Orchid;OC201;Phalaenopsis Orchid;4,00;$54,00;$0,00;$216,00
1000136;Jan 10, 2020;Wholesale;Business;Devin Martinez Inc.;North Carolina;Rose;RS509;Bourbon Rose;13,00;$19,99;$4,00;$255,87
1000137;Jan 10, 2020;Wholesale;Business;Brian Morgan LLC;Texas;Orchid;OC603;Paphiopedlium Orchid;44,00;$189,00;$37,80;$8.278,20
1000138;Jan 10, 2020;Retail;Individual;Rodney Rubio;Pennsylvania;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1000139;Jan 10, 2020;Wholesale;Business;Gabriella Morris LLC;California;Rose;RS508;Ayrshire Rose;15,00;$15,50;$3,10;$229,40
1000140;Jan 10, 2020;Wholesale;Business;Alexandra Richardson Industries;Tennessee;Rose;RS104;Beach Rose;12,00;$4,99;$1,00;$58,88
1000141;Jan 10, 2020;Wholesale;Business;Grace Bell andSons;Florida;Rose;RS502;Rosa Glauca;6,00;$24,95;$4,99;$144,71
1000142;Jan 10, 2020;Retail;Individual;Jeremy Anderson;California;Sunflower;SF305;Ms. Mars;1,00;$455,00;$0,00;$455,00
1000143;Jan 10, 2020;Retail;Individual;Kyle Carter;Washington;Sunflower;SF306;Chianti;1,00;$250,00;$0,00;$250,00
1000144;Jan 10, 2020;Wholesale;Business;Cole Torres LLC;Oregon;Daisy;DS801;Rough Daisy;68,00;$36,99;$7,40;$2.507,92
1000145;Jan 10, 2020;Retail;Individual;Kaylee King;Tennessee;Orchid;OC201;Phalaenopsis Orchid;1,00;$54,00;$0,00;$54,00
1000146;Jan 11, 2020;Retail;Individual;Dalton Bennett;Delaware;Rose;RS516;Polyantha;1,00;$16,99;$0,00;$16,99
1000147;Jan 11, 2020;Retail;Individual;Kristina Schmidt;Virginia;Daisy;DS808;Pale Purple Coneflower;1,00;$34,99;$0,00;$34,99
1000148;Jan 11, 2020;Retail;Individual;Jackson Wright;Ohio;Rose;RS511;Cabbage Rose;1,00;$20,95;$0,00;$20,95
1000149;Jan 11, 2020;Wholesale;Business;Elizabeth Coleman Inc.;Texas;Rose;RS516;Polyantha;9,00;$16,99;$3,40;$149,51
1000150;Jan 11, 2020;Retail;Individual;Arthur Carlson;Georgia;Orchid;OC606;Vanda Orchid;1,00;$225,00;$0,00;$225,00
1000151;Jan 11, 2020;Retail;Individual;Cassie Chande;New York;Sunflower;SF302;Sunny Smile;1,00;$395,00;$0,00;$395,00
1000152;Jan 11, 2020;Wholesale;Business;Jason Carter Inc.;Indiana;Rose;RS520;Rogusa Rose;10,00;$17,50;$3,50;$171,50
1000153;Jan 11, 2020;Retail;Individual;Linda Navarro;Iowa;Rose;RS503;Multiflora Rose;1,00;$24,99;$0,00;$24,99
1000154;Jan 11, 2020;Wholesale;Business;Jessica Miller MayerCompany;Kansas;Rose;RS104;Beach Rose;8,00;$4,99;$1,00;$38,92
1000155;Jan 11, 2020;Wholesale;Business;Megan Rodriguez Inc.;Indiana;Daisy;DS808;Pale Purple Coneflower;12,00;$34,99;$7,00;$412,88
1000156;Jan 11, 2020;Wholesale;Business;Jonathan Rodriguez Inc.;North Carolina;Daisy;DS806;Shasta Daisy;10,00;$49,00;$9,80;$480,20
1000157;Jan 11, 2020;Retail;Individual;Theresa Ramos;Oregon;Daisy;DS808;Pale Purple Coneflower;1,00;$34,99;$0,00;$34,99
1000158;Jan 11, 2020;Retail;Individual;Catherine Cooper;California;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000159;Jan 12, 2020;Wholesale;Business;Alyssa Davis Inc.;Maryland;Rose;RS101;Prickly Wild Rose;8,00;$9,99;$2,00;$77,92
1000160;Jan 12, 2020;Wholesale;Business;Megan Rodriguez Inc.;Indiana;Orchid;OC606;Vanda Orchid;40,00;$225,00;$45,00;$8.955,00
1000161;Jan 12, 2020;Wholesale;Business;Bianca Liu Group;New York;Sunflower;SF301;Little Becka;10,00;$399,00;$79,80;$3.910,20
1000162;Jan 12, 2020;Wholesale;Business;Alberto Ramos Inc.;Georgia;Rose;RS504;Shining Rose;7,00;$12,99;$2,60;$88,33
1000163;Jan 12, 2020;Wholesale;Business;William Lee International;New York;Orchid;OC603;Paphiopedlium Orchid;26,00;$189,00;$37,80;$4.876,20
1000164;Jan 12, 2020;Retail;Individual;Kelsey Xie;Missouri;Daisy;DS804;Chrysanthemum Daisy;1,00;$37,99;$0,00;$37,99
1000165;Jan 12, 2020;Wholesale;Business;Susan Yang;California;Rose;RS108;Panda Robot Blueprint;6,00;$7,99;$1,60;$46,34
1000166;Jan 12, 2020;Wholesale;Business;Eugene Zhao LLC;Texas;Rose;RS102;Carolina Rose;6,00;$8,99;$1,80;$52,14
1000167;Jan 12, 2020;Wholesale;Business;Thomas Chen Inc.;Texas;Rose;RS503;Multiflora Rose;10,00;$24,99;$5,00;$244,90
1000168;Jan 12, 2020;Wholesale;Business;Catherine Cox LLC;Minnesota;Rose;RS511;Cabbage Rose;8,00;$20,95;$4,19;$163,41
1000169;Jan 12, 2020;Wholesale;Business;Eugene Zhao LLC;Texas;Orchid;OC603;Paphiopedlium Orchid;70,00;$189,00;$37,80;$13.192,20
1000170;Jan 12, 2020;Retail;Individual;Jaclyn Nara;Arizona;Sunflower;SF301;Little Becka;1,00;$399,00;$0,00;$399,00
1000171;Jan 12, 2020;Retail;Individual;Chloe Robinson;New York;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1000172;Jan 13, 2020;Retail;Individual;Alexandra James;Iowa;Rose;RS501;Prairie Rose;1,00;$23,99;$0,00;$23,99
1000173;Jan 13, 2020;Retail;Individual;Sergio Weber;Ohio;Sunflower;SF705;Suntastic Yellow;2,00;$684,00;$0,00;$1.368,00
1000174;Jan 13, 2020;Retail;Individual;Maurice Goel;Virginia;Rose;RS513;Tea Rose;1,00;$14,99;$0,00;$14,99
1000175;Jan 13, 2020;Wholesale;Business;Melanie Rivera Inc.;California;Sunflower;SF307;Moulin Rouge;6,00;$499,00;$99,80;$2.894,20
1000176;Jan 13, 2020;Wholesale;Business;Xavier Bailey LLC;Connecticut;Rose;RS512;Hybrid Perpetual;8,00;$24,95;$4,99;$194,61
1000177;Jan 13, 2020;Retail;Individual;Leah Zheng;Texas;Rose;RS110;Noisette Rose;1,00;$12,00;$0,00;$12,00
1000178;Jan 13, 2020;Wholesale;Business;Preston Raman Inc.;Georgia;Daisy;DS807;Osteospermum Daisy;15,00;$32,95;$6,59;$487,66
1000179;Jan 13, 2020;Wholesale;Business;Erika Rubio Inc.;California;Rose;RS506;Heirloom Rose;7,00;$16,99;$3,40;$115,53
1000180;Jan 14, 2020;Retail;Individual;Felicia Blanco;Delaware;Daisy;DS809;Eastern Purple Coneflower;1,00;$42,99;$0,00;$42,99
1000181;Jan 14, 2020;Retail;Individual;Roger Zhang;California;Rose;RS514;Grandiflora;1,00;$23,99;$0,00;$23,99
1000182;Jan 14, 2020;Wholesale;Business;Dalton Parker Group;Nebraska;Daisy;DS813;English Daisy;5,00;$29,99;$6,00;$143,95
1000183;Jan 14, 2020;Wholesale;Business;Tristan Henderson LLC;Tennessee;Daisy;DS809;Eastern Purple Coneflower;7,00;$42,99;$8,60;$292,33
1000184;Jan 14, 2020;Wholesale;Business;Adrian Sanchez Technologies;California;Rose;RS502;Rosa Glauca;13,00;$24,95;$4,99;$319,36
